id,imdb_id,title,adult,original_language,poster_path,poster_path_updated,release_date,revenue,runtime,vote_average,vote_count,overview,keywords,cast,director,genres,popularity,imdb_score
211672,tt2293640,Minions,False,en,/vlOgaxUiMOA8sPDG9n3VhQabnEi.jpg,True,2015-06-17,1156730962.0,91.0,6.4,4729.0,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.","['assistant', 'aftercreditsstinger', 'duringcreditsstinger']","['Sandra Bullock', 'Jon Hamm', 'Michael Keaton']",Kyle Balda,"['Family', 'Animation', 'Adventure']",547.4883,6.374452405322416
297762,tt0451279,Wonder Woman,False,en,/imekS7f1OuHyUP2LAiTEM0zBzUz.jpg,True,2017-05-30,820580447.0,141.0,7.2,5025.0,An Amazon princess comes to the world of Man to become the greatest of the female superheroes.,"['dc comics', 'hero', 'greek mythology']","['Gal Gadot', 'Chris Pine', 'Robin Wright']",Patty Jenkins,"['Action', 'Adventure', 'Fantasy']",294.33704,7.151823972206138
321612,tt2771200,Beauty and the Beast,False,en,/tWqifoYuwLETmmasnGHO7xBjEtt.jpg,True,2017-03-16,1262886337.0,129.0,6.8,5530.0,A live-action adaptation of Disney's version of the classic 'Beauty and the Beast' tale of a cursed prince and a beautiful young woman who helps him break the spell.,"['france', 'magic', 'castle']","['Emma Watson', 'Dan Stevens', 'Luke Evans']",Bill Condon,"['Family', 'Fantasy', 'Romance']",287.25366,6.76707703130496
339403,tt3890160,Baby Driver,False,en,/dN9LbVNNZFITwfaRjl4tmwGWkRg.jpg,True,2017-06-28,224511319.0,113.0,7.2,2083.0,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.","['robbery', 'atlanta', 'music']","['Ansel Elgort', 'Lily James', 'Kevin Spacey']",Edgar Wright,"['Action', 'Crime']",228.03275,7.088521661456007
177572,tt2245084,Big Hero 6,False,en,/2mxS4wUimwlLmI1xp6QW6NSU361.jpg,True,2014-10-24,652105443.0,102.0,7.8,6289.0,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.","['brother brother relationship', 'hero', 'talent']","['Scott Adsit', 'Ryan Potter', 'Daniel Henney']",Chris Williams,"['Adventure', 'Family', 'Animation']",213.84991,7.746749418153606
283995,tt3896198,Guardians of the Galaxy Vol. 2,False,en,/y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg,True,2017-04-19,863416141.0,137.0,7.6,4858.0,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,"['sequel', 'superhero', 'based on comic']","['Chris Pratt', 'Zoe Saldana', 'Dave Bautista']",James Gunn,"['Action', 'Adventure', 'Comedy']",185.331,7.53777423214998
293660,tt1431045,Deadpool,False,en,/yGSxMiF0cYuAiyuve5DA6bnWEOI.jpg,True,2016-02-09,783112979.0,108.0,7.4,11444.0,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.","['anti hero', 'mercenary', 'marvel comic']","['Ryan Reynolds', 'Morena Baccarin', 'Ed Skrein']",Tim Miller,"['Action', 'Adventure', 'Comedy']",187.86049,7.3757931034482755
19995,tt0499549,Avatar,False,en,/6EiRUJpuoeQPghrs3YNktfnqOVh.jpg,True,2009-12-10,2787965087.0,162.0,7.2,12114.0,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","['culture clash', 'future', 'space war']","['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",James Cameron,"['Action', 'Adventure', 'Fantasy']",185.07089,7.179657701711491
245891,tt2911666,John Wick,False,en,/fZPSd91yGE9fCcCe6OoQr6E3Bev.jpg,True,2014-10-22,88761661.0,101.0,7.0,5499.0,Ex-lunatic John Wick comes off his meds to track down the bounders that killed his dog and made off with his self-respect,"['hitman', 'russian mafia', 'revenge']","['Keanu Reeves', 'Michael Nyqvist', 'Alfie Allen']",Chad Stahelski,"['Action', 'Thriller']",183.87038,6.961379310344827
210577,tt2267998,Gone Girl,False,en,/qymaJhucquUwjpb8oiqynMeXnID.jpg,True,2014-10-01,369330363.0,145.0,7.9,6023.0,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","['based on novel', 'marriage crisis', 'disappearance']","['Ben Affleck', 'Rosamund Pike', 'Carrie Coon']",David Fincher,"['Mystery', 'Thriller', 'Drama']",154.80101,7.84193235151319
680,tt0110912,Pulp Fiction,False,en,/dRZpdpKLgN9nk57zggJCs1TjJb4.jpg,True,1994-09-10,213928762.0,154.0,8.3,8670.0,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.","['transporter', 'brothel', 'drug dealer']","['John Travolta', 'Samuel L. Jackson', 'Uma Thurman']",Quentin Tarantino,"['Thriller', 'Crime']",140.95024,8.252277362338546
271110,tt3498820,Captain America: Civil War,False,en,/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg,True,2016-04-27,1153304495.0,147.0,7.1,7462.0,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.","['civil war', 'war', 'marvel comic']","['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson']",Anthony Russo,"['Adventure', 'Action', 'Science Fiction']",145.88214,7.069283276450512
